Loothook Grimgold
Greedfinger Slimpick
Plundar Blinkpurse
Corpsecoin Skimgrin
Gravegrin Profitpouch
Tombtoe Goldsnatch
Rattlebag Shinyscrape
Lootwhisker Grimcoin
Deadweight Glimmergrub
Greavegrave Coinclip
Wraithwallet Swiftsnag
Ghostgoggle Glimgrab
Cadaverclutch Coppersnatch
Spiritshoe Shinysift
Gloomglove Goldgrasp
Spectersack Silverpinch
Cryptclasp Cashsnipe
Shadowshift Lootlick
Reaprap Coincrawler
Gravelsnag Dimedigger
Ghastgrab Glinkerbite
Relicrush Rattlepurse
Graveldigger Gleamgrip
Spiritshimmer Moneymug
Phantomfist Plunderpluck
Ghostglimmer Lootlobe
Cryptkeeper Coincatch
Skulkspade Sparksnare
Spectralsnatch Gildgrip
Wraithwringer Richrift
Shadeclaw Silverseize
Eeriestash Goldgulp
Haunt-hands Copperscoop
Shadowscrounge Sparkslide
Revenueripper Glimmergob
Spookspoon Shinyshovel
Gloomguzzler Lootlooter
Dustbones Dimegrab
Grimgrabber Gleamglug
Darkdiver Doubloondigger
